Customer ID,Total_Orders,Total_Revenue,Total_Profit,Total_Quantity,Avg_Order_Value,Avg_Discount,First_Order,Last_Order,Unique_Products,Unique_Categories,Avg_Profit_Margin,Recency (Days),Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer Segment,Customer Name,Segment
AS-10285,6,3214.24,354.63,39,401.78,0.22,2016-05-21,2017-12-11,8,3,-7.9,19,6,3214.24,5,3,4,12,Loyal Customers,Alejandro Savely,Corporate
AS-10630,7,833.4,136.49,34,69.45,0.18,2014-08-01,2017-09-29,10,3,28.94,92,7,833.4,3,3,1,7,Potential Loyalists,Ann Steele,Home Office
AT-10435,6,1171.81,100.88,28,130.2,0.2,2014-11-24,2017-12-09,9,3,2.69,21,6,1171.81,5,3,2,10,Loyal Customers,Alyssa Tate,Home Office
AT-10735,10,3831.86,974.11,60,239.49,0.09,2014-08-30,2017-12-17,16,3,23.39,13,10,3831.86,5,5,4,14,Champions,Annie Thurman,Consumer
AW-10840,4,649.38,65.77,24,81.17,0.2,2015-04-13,2017-12-10,8,3,-3.19,20,4,649.38,5,1,1,7,New Customers,Anthony Witt,Consumer
AW-10930,7,2852.97,-104.55,68,178.31,0.31,2014-07-14,2017-11-14,16,3,-25.37,46,7,2852.97,4,3,4,11,Loyal Customers,Arthur Wiediger,Home Office
AY-10555,4,497.01,103.35,34,49.7,0.1,2014-04-06,2017-12-16,10,3,26.7,14,4,497.01,5,1,1,7,New Customers,Andy Yotov,Corporate
AZ-10750,6,1622.02,154.95,40,135.17,0.12,2014-03-17,2017-07-23,12,3,19.0,160,6,1622.02,2,3,2,7,At Risk,Annie Zypern,Consumer
BB-10990,5,744.34,11.58,26,93.04,0.2,2014-07-27,2017-09-16,8,2,-3.5,105,5,744.34,2,2,1,5,Lost/Hibernating,Barry Blumstein,Corporate
BB-11545,9,6765.73,1015.08,83,338.29,0.2,2015-06-05,2017-12-02,20,3,-12.6,28,9,6765.73,4,5,5,14,Champions,Brenda Bowman,Corporate
BC-11125,9,2933.68,251.6,60,162.98,0.11,2014-07-06,2017-06-11,18,3,16.55,202,9,2933.68,2,5,4,11,Loyal Customers,Becky Castell,Home Office
BD-11320,12,5718.52,1094.5,75,300.97,0.08,2015-05-31,2017-11-27,19,3,24.32,33,12,5718.52,4,5,5,14,Champions,Bill Donatelli,Consumer
BD-11500,6,4411.24,1142.12,49,441.12,0.14,2014-02-01,2017-11-25,10,3,10.63,35,6,4411.24,4,3,5,12,Loyal Customers,Bradley Drucker,Consumer
BD-11560,2,320.54,116.71,11,80.14,0.0,2015-05-30,2017-03-27,4,2,42.0,278,2,320.54,1,1,1,3,Lost/Hibernating,Brendan Dodson,Home Office
BD-11605,7,3288.47,634.85,74,164.42,0.07,2014-01-13,2017-09-24,20,3,28.87,97,7,3288.47,3,3,4,10,Loyal Customers,Brian Dahlen,Consumer
BD-11620,6,1538.11,206.76,27,192.26,0.18,2014-06-30,2017-10-22,8,3,8.36,69,6,1538.11,3,3,2,8,Potential Loyalists,Brian DeCherney,Consumer
BD-11635,3,582.65,141.53,19,116.53,0.1,2014-10-05,2017-12-21,5,3,28.41,9,3,582.65,5,1,1,7,New Customers,Brian Derr,Consumer
BD-11725,6,1526.5,333.98,29,152.65,0.02,2015-07-03,2017-09-28,10,2,31.15,93,6,1526.5,3,3,2,8,Potential Loyalists,Bruce Degenhardt,Consumer
BD-11770,6,658.47,141.26,21,65.85,0.12,2016-03-10,2017-02-06,10,3,25.98,327,6,658.47,1,3,1,5,At Risk,Bryan Davis,Consumer
BE-11335,5,4204.68,1487.77,35,467.19,0.02,2016-01-15,2017-09-02,9,3,35.75,119,5,4204.68,2,2,4,8,Cant Lose Them,Bill Eplett,Home Office
BE-11410,5,2261.44,755.92,19,452.29,0.16,2016-02-07,2017-09-23,5,2,34.6,98,5,2261.44,3,2,3,8,Need Attention,Bobby Elias,Consumer
BE-11455,6,1727.65,139.2,40,132.9,0.15,2015-08-02,2017-04-20,13,3,14.65,254,6,1727.65,1,3,2,6,At Risk,Brad Eason,Home Office
BF-10975,7,599.8,227.44,38,46.14,0.15,2014-07-14,2017-09-30,13,2,24.83,91,7,599.8,3,3,1,7,Potential Loyalists,Barbara Fisher,Corporate
BF-11005,4,1333.88,-291.38,26,133.39,0.18,2014-09-25,2017-11-21,10,3,0.25,39,4,1333.88,4,1,2,7,New Customers,Barry Franz,Home Office
BF-11020,8,2888.51,302.02,78,137.55,0.26,2014-02-15,2017-10-17,21,3,3.0,74,8,2888.51,3,4,4,11,Loyal Customers,Barry Französisch,Corporate
BF-11080,3,272.95,110.93,29,45.49,0.0,2014-11-28,2017-12-05,6,1,41.17,25,3,272.95,5,1,1,7,New Customers,Bart Folk,Consumer
BF-11170,11,5907.97,1538.21,102,218.81,0.12,2014-04-13,2017-12-14,27,3,22.48,16,11,5907.97,5,5,5,15,Champions,Ben Ferrer,Home Office
BF-11215,4,1585.16,523.21,48,198.15,0.05,2014-11-09,2017-10-26,8,3,34.12,65,4,1585.16,3,1,2,6,Need Attention,Benjamin Farhat,Home Office
BF-11275,3,791.99,25.87,11,198.0,0.15,2014-03-22,2017-11-03,4,3,13.38,57,3,791.99,3,1,1,5,Need Attention,Beth Fritzler,Corporate
BG-11035,8,2798.95,-711.43,35,233.25,0.19,2014-11-05,2017-12-02,12,3,5.15,28,8,2798.95,4,4,4,12,Loyal Customers,Barry Gonzalez,Consumer
BG-11695,6,1874.17,107.57,24,234.27,0.14,2014-05-11,2017-11-24,8,3,22.3,36,6,1874.17,4,3,3,10,Loyal Customers,Brooke Gillingham,Corporate
BG-11740,6,1006.36,119.35,22,143.77,0.14,2014-03-23,2017-11-03,7,3,18.82,57,6,1006.36,3,3,2,8,Potential Loyalists,Bruce Geld,Consumer
BH-11710,8,6255.35,802.79,97,260.64,0.18,2014-06-09,2017-12-07,24,3,11.75,23,8,6255.35,5,4,5,14,Champions,Brosina Hoffman,Consumer
BK-11260,6,659.14,-63.76,58,41.2,0.21,2014-08-03,2017-10-14,16,3,-12.09,77,6,659.14,3,3,1,7,Potential Loyalists,Berenike Kampe,Consumer
BM-11140,4,11789.63,-1659.96,64,736.85,0.17,2014-09-08,2017-02-26,16,3,-0.72,307,4,11789.63,1,1,5,7,Cant Lose Them,Becky Martin,Consumer
BM-11575,6,808.16,95.58,22,80.82,0.18,2015-09-15,2017-09-21,9,3,5.8,100,6,808.16,3,3,1,7,Potential Loyalists,Brendan Murry,Corporate
BM-11650,11,7294.18,2199.28,95,251.52,0.08,2014-07-09,2017-11-27,28,3,25.71,33,11,7294.18,4,5,5,14,Champions,Brian Moss,Corporate
BM-11785,10,1338.84,137.74,44,95.63,0.25,2014-06-06,2017-05-26,14,3,-2.43,218,10,1338.84,2,5,2,9,At Risk,Bryan Mills,Consumer
BN-11470,4,265.3,36.61,15,44.22,0.17,2014-09-12,2017-12-06,6,2,21.79,24,4,265.3,5,1,1,7,New Customers,Brad Norvell,Corporate
BN-11515,5,1459.34,340.71,79,85.84,0.02,2014-03-17,2017-12-21,17,2,31.76,9,5,1459.34,5,2,2,9,New Customers,Bradley Nguyen,Consumer
BO-11350,5,2682.73,278.78,43,223.56,0.23,2016-01-03,2017-08-15,12,3,5.4,137,5,2682.73,2,2,3,7,Cant Lose Them,Bill Overfelt,Corporate
BO-11425,2,130.83,59.45,7,65.42,0.0,2015-09-10,2017-10-16,2,1,40.0,75,2,130.83,3,1,1,5,Need Attention,Bobby Odegard,Consumer
BP-11050,5,983.42,209.78,30,140.49,0.14,2014-10-12,2017-10-08,7,2,0.18,83,5,983.42,3,2,2,7,Need Attention,Barry Pond,Corporate
BP-11095,12,2442.04,433.98,70,122.1,0.16,2014-06-07,2017-12-13,19,3,13.97,17,12,2442.04,5,5,3,13,Champions,Bart Pistole,Corporate
BP-11155,6,1697.86,647.38,32,154.35,0.08,2015-06-04,2017-10-02,11,3,26.33,89,6,1697.86,3,3,2,8,Potential Loyalists,Becky Pak,Consumer
BP-11185,9,3675.86,363.6,69,204.21,0.19,2015-03-24,2017-12-29,18,3,11.84,1,9,3675.86,5,5,4,14,Champions,Ben Peterman,Corporate
BP-11230,5,1181.49,-197.27,14,196.92,0.07,2014-04-20,2017-11-21,6,3,28.83,39,5,1181.49,4,2,2,8,New Customers,Benjamin Patterson,Consumer
BP-11290,7,2475.16,-319.06,51,154.7,0.3,2014-10-03,2017-12-18,16,2,-2.58,12,7,2475.16,5,3,3,11,Loyal Customers,Beth Paige,Consumer
BS-11365,5,10501.65,2616.06,39,1166.85,0.01,2014-05-04,2016-06-20,9,3,27.0,558,5,10501.65,1,2,5,8,Cant Lose Them,Bill Shonely,Corporate
BS-11380,5,3887.83,-17.53,58,299.06,0.28,2014-11-29,2017-12-02,13,3,-9.95,28,5,3887.83,4,2,4,10,Loyal Customers,Bill Stewart,Corporate
BS-11590,6,2454.93,381.78,41,245.49,0.3,2014-01-14,2017-11-25,10,3,-15.25,35,6,2454.93,4,3,3,10,Loyal Customers,Brendan Sweed,Corporate
BS-11665,3,3288.11,238.74,47,298.92,0.18,2014-06-23,2016-05-27,11,3,-0.45,582,3,3288.11,1,1,4,6,Cant Lose Them,Brian Stugart,Consumer
BS-11755,7,2562.38,-113.3,45,183.03,0.13,2014-05-18,2017-12-29,14,3,15.26,1,7,2562.38,5,3,3,11,Loyal Customers,Bruce Stewart,Consumer
BS-11800,2,949.43,194.05,22,118.68,0.0,2015-09-26,2017-04-09,8,1,37.12,265,2,949.43,1,1,1,3,Lost/Hibernating,Bryan Spruell,Home Office
BT-11305,5,2567.66,417.59,33,285.3,0.04,2014-04-25,2017-01-28,9,3,27.56,336,5,2567.66,1,2,3,6,Cant Lose Them,Beth Thompson,Home Office
BT-11395,6,2186.61,257.92,38,218.66,0.15,2014-10-28,2017-03-03,10,3,14.38,302,6,2186.61,1,3,3,7,At Risk,Bill Tyler,Corporate
BT-11440,4,603.88,-77.53,16,86.27,0.16,2014-06-04,2016-06-18,7,2,6.12,560,4,603.88,1,1,1,3,Lost/Hibernating,Bobby Trafton,Consumer
BT-11485,2,415.2,126.87,11,138.4,0.07,2015-12-27,2016-03-11,3,2,36.42,659,2,415.2,1,1,1,3,Lost/Hibernating,Brad Thomas,Home Office
BT-11530,5,2684.49,409.5,44,268.45,0.1,2014-05-21,2017-09-30,10,3,24.19,91,5,2684.49,3,2,3,8,Need Attention,Bradley Talbott,Home Office
BT-11680,7,3196.75,447.75,88,159.84,0.07,2014-11-28,2017-12-10,20,3,30.59,20,7,3196.75,5,3,4,12,Loyal Customers,Brian Thompson,Consumer
BV-11245,5,1523.27,315.22,49,108.81,0.09,2015-03-26,2017-01-30,14,3,25.9,334,5,1523.27,1,2,2,5,Lost/Hibernating,Benjamin Venier,Corporate
BW-11065,3,385.52,-58.29,8,128.51,0.13,2014-05-25,2017-06-01,3,2,16.17,212,3,385.52,2,1,1,4,Lost/Hibernating,Barry Weirich,Consumer
BW-11110,8,4750.36,921.26,74,279.43,0.14,2015-03-20,2017-08-31,17,3,16.55,121,8,4750.36,2,4,5,11,Loyal Customers,Bart Watters,Corporate
BW-11200,6,1738.41,247.0,49,173.84,0.15,2014-08-12,2017-06-10,10,3,6.59,203,6,1738.41,2,3,2,7,At Risk,Ben Wallace,Consumer
CA-11965,6,3789.72,1143.38,29,378.97,0.11,2014-01-26,2017-09-25,10,3,28.16,96,6,3789.72,3,3,4,10,Loyal Customers,Carol Adams,Corporate
CA-12055,5,1679.72,211.26,49,167.97,0.3,2015-09-05,2016-11-24,10,3,-20.45,401,5,1679.72,1,2,2,5,Lost/Hibernating,Cathy Armstrong,Home Office
CA-12265,9,2648.29,279.62,65,155.78,0.19,2014-03-25,2017-11-04,17,3,-6.91,56,9,2648.29,3,5,3,11,Loyal Customers,Christina Anderson,Consumer
CA-12310,4,1421.95,246.02,25,129.27,0.12,2014-07-19,2017-12-17,11,3,15.46,13,4,1421.95,5,1,2,8,New Customers,Christine Abelman,Corporate
CA-12775,7,3041.57,204.49,72,178.92,0.19,2014-06-28,2017-09-01,17,3,12.57,120,7,3041.57,2,3,4,9,At Risk,Cynthia Arntzen,Consumer
CB-12025,10,6076.14,150.21,122,233.7,0.16,2014-03-21,2017-11-13,25,3,10.46,47,10,6076.14,4,5,5,14,Champions,Cassandra Brandow,Consumer
CB-12415,8,1949.2,272.39,44,162.43,0.33,2015-11-05,2017-12-04,12,3,-32.0,26,8,1949.2,5,4,3,12,Loyal Customers,Christy Brittain,Consumer
CB-12535,8,4246.46,1049.56,74,223.5,0.05,2015-01-02,2017-06-16,19,3,31.37,197,8,4246.46,2,4,4,10,Loyal Customers,Claudia Bergmann,Corporate
CC-12100,6,1770.94,208.59,46,136.23,0.22,2014-12-16,2016-09-29,13,3,2.71,457,6,1770.94,1,3,3,7,At Risk,Chad Cunningham,Home Office
CC-12145,7,2471.65,392.28,31,224.7,0.08,2014-07-20,2017-09-15,11,3,30.41,106,7,2471.65,2,3,3,8,At Risk,Charles Crestani,Consumer
CC-12220,12,3913.42,393.96,81,177.88,0.12,2014-09-09,2017-12-10,22,3,23.65,20,12,3913.42,5,5,4,14,Champions,Chris Cortes,Consumer
CC-12370,5,12129.07,2177.05,34,1102.64,0.28,2016-05-23,2017-11-17,11,3,-1.08,43,5,12129.07,4,2,5,11,Loyal Customers,Christopher Conant,Consumer
CC-12430,10,2870.05,424.66,63,151.06,0.06,2015-09-06,2017-12-30,18,3,29.77,0,10,2870.05,5,5,4,14,Champions,Chuck Clark,Home Office
CC-12475,9,1659.44,154.85,40,127.65,0.16,2014-05-16,2017-11-21,13,3,-0.01,39,9,1659.44,4,5,2,11,Loyal Customers,Cindy Chapman,Consumer
CC-12550,3,113.83,33.87,14,28.46,0.15,2017-06-15,2017-12-03,4,2,32.31,27,3,113.83,4,1,1,6,New Customers,Clay Cheatham,Consumer
CC-12610,7,2540.63,331.43,39,211.72,0.27,2014-08-27,2017-11-26,12,3,-17.09,34,7,2540.63,4,3,3,10,Loyal Customers,Corey Catlett,Corporate
CC-12670,7,2269.7,187.84,47,162.12,0.17,2014-12-23,2017-12-01,14,3,8.48,29,7,2269.7,4,3,3,10,Loyal Customers,Craig Carreira,Consumer
CC-12685,4,2854.12,850.16,51,237.84,0.25,2014-03-22,2015-10-23,12,2,-0.78,799,4,2854.12,1,1,4,6,Cant Lose Them,Craig Carroll,Consumer
CD-11920,5,2033.97,426.66,35,226.0,0.04,2014-03-24,2017-11-20,9,3,27.94,40,5,2033.97,4,2,3,9,New Customers,Carlos Daly,Consumer
CD-11980,3,639.77,-206.72,22,106.63,0.43,2016-11-24,2017-11-06,6,3,-67.58,54,3,639.77,3,1,1,5,Need Attention,Carol Darley,Consumer
CD-12280,2,1205.58,233.03,39,92.74,0.08,2017-11-05,2017-11-18,13,3,26.47,42,2,1205.58,4,1,2,7,New Customers,Christina DeMoss,Consumer
CD-12790,5,1860.73,403.84,49,124.05,0.03,2014-02-02,2016-11-26,15,3,35.7,399,5,1860.73,1,2,3,6,Cant Lose Them,Cynthia Delaney,Home Office
CG-12040,6,904.47,86.51,37,100.5,0.19,2015-06-01,2017-11-11,9,2,18.32,49,6,904.47,4,3,1,8,Potential Loyalists,Catherine Glotzbach,Home Office
CG-12520,3,1148.78,169.93,14,229.76,0.2,2015-10-15,2017-01-26,5,2,3.7,338,3,1148.78,1,1,2,4,Lost/Hibernating,Claire Gute,Consumer
CH-12070,3,1537.24,195.15,13,384.31,0.15,2015-06-25,2016-02-08,4,2,12.19,691,3,1537.24,1,1,2,4,Lost/Hibernating,Cathy Hwang,Home Office
CJ-11875,1,16.52,1.65,5,16.52,0.2,2016-12-30,2016-12-30,1,1,10.0,365,1,16.52,1,1,1,3,Lost/Hibernating,Carl Jackson,Corporate
CJ-12010,8,11164.97,858.74,83,558.25,0.19,2016-03-10,2017-06-24,20,3,8.62,189,8,11164.97,2,4,5,11,Loyal Customers,Caroline Jumper,Consumer
CK-12205,13,3154.86,141.28,122,98.59,0.23,2014-03-11,2017-11-21,32,3,6.44,39,13,3154.86,4,5,4,13,Champions,Chloris Kastensmidt,Consumer
CK-12325,5,2945.32,261.22,46,245.44,0.18,2014-03-14,2017-09-01,12,3,11.91,120,5,2945.32,2,2,4,8,Cant Lose Them,Christine Kargatis,Home Office
CK-12595,11,2372.75,497.71,108,94.91,0.18,2014-12-26,2017-11-17,24,3,8.67,43,11,2372.75,4,5,3,12,Loyal Customers,Clytie Kelty,Consumer
CK-12760,9,1582.11,-338.43,64,113.01,0.15,2014-02-07,2017-10-09,14,3,8.66,82,9,1582.11,3,5,2,10,Loyal Customers,Cyma Kinney,Corporate
CL-11890,4,1262.01,328.08,24,180.29,0.06,2014-07-26,2017-09-15,7,3,26.11,106,4,1262.01,2,1,2,5,Lost/Hibernating,Carl Ludwig,Consumer
CL-12565,12,10880.55,1933.78,106,388.59,0.11,2014-03-04,2017-03-21,28,3,24.48,284,12,10880.55,1,5,5,11,Loyal Customers,Clay Ludtke,Consumer
CL-12700,5,2353.59,229.01,34,294.2,0.19,2016-04-24,2017-09-16,8,3,11.69,105,5,2353.59,2,2,3,7,Cant Lose Them,Craig Leslie,Home Office
CM-11815,6,1673.89,214.46,38,167.39,0.12,2014-11-14,2017-08-21,10,3,23.32,131,6,1673.89,2,3,2,7,At Risk,Candace McMahon,Corporate
CM-11935,2,565.39,-43.73,18,141.35,0.2,2015-09-24,2016-01-22,4,3,15.62,708,2,565.39,1,1,1,3,Lost/Hibernating,Carlos Meador,Consumer
CM-12115,4,1661.61,409.07,35,237.37,0.03,2015-03-29,2017-12-22,7,3,31.39,8,4,1661.61,5,1,2,8,New Customers,Chad McGuire,Consumer
